id,title,year,rating,votes,budget,gross_world_wide,gross_us_canada,opening_weekend_gross,genres,production_companies,wins,nominations,oscars
tt1937390,Nymphomaniac: Vol. I,2013,6.9,134K,4700000.0,13269941.0,785896.0,158369.0,"['Psychological Drama', 'Drama']","['Zentropa Entertainments', 'Zentropa International Köln', 'Heimatfilm']",0,30,0
tt1602613,Only God Forgives,2013,5.7,120K,4800000.0,10658332.0,779188.0,313958.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Space Rocket Nation', 'Gaumont', 'Wild Bunch']",0,20,0
tt2345112,Parkland,2013,6.4,18K,10000000.0,1412181.0,653651.0,310246.0,"['Drama', 'History', 'Mystery', 'Thriller']","['Exclusive Media Group', 'The American Film Company', 'Playtone']",0,0,0
tt1596753,Salinger,2013,6.7,2.7K,2000000.0,650675.0,583633.0,86956.0,['Documentary'],['The Story Factory'],0,0,0
tt3404140,The Attorney,2013,7.7,8K,5000000.0,78547586.0,557236.0,216035.0,"['Crime', 'Drama', 'History']",['WithUs Films'],0,28,0
tt2084989,Upstream Color,2013,6.5,35K,50000.0,587174.0,444098.0,28649.0,"['Medical Drama', 'Psychological Drama', 'Suspense Mystery', 'Drama', 'Mystery', 'Sci-Fi']",['erbp'],0,35,0
tt1847746,The German Doctor,2013,6.7,7.9K,2000000.0,3635718.0,418392.0,34259.0,"['Drama', 'Thriller']","['Historias Cinematograficas', 'Cine.Ar', 'P&P Endemol Argentina']",0,22,0
tt2382396,Joe,2013,6.8,52K,4000000.0,2431443.0,373375.0,105881.0,"['Crime', 'Drama', 'Thriller']","['Worldview Entertainment', 'Dreambridge Films', 'Muskat Filmed Properties']",0,9,0
tt2301155,Shootout at Wadala,2013,6.0,7.8K,260000000.0,711366.0,369573.0,212346.0,"['True Crime', 'Action', 'Biography', 'Crime']","['Balaji Motion Pictures', 'White Feather Films']",0,0,0
tt1426329,Lovelace,2013,6.2,43K,10000000.0,1585583.0,356582.0,184536.0,"['Biography', 'Drama']","['Millennium Films', 'Eclectic Pictures', 'Untitled Entertainment']",0,3,0
tt2852406,Omar,2013,7.5,16K,2100000.0,614444.0,356000.0,157000.0,"['Crime', 'Drama', 'Romance', 'Thriller', 'War']",['ZBROS'],0,12,1
tt1839642,The Face of Love,2013,6.2,6.1K,4000000.0,1806548.0,350006.0,24660.0,"['Drama', 'Mystery', 'Romance']",['Mockingbird Pictures'],0,0,0
tt2265398,Drinking Buddies,2013,6.1,61K,650000.0,401914.0,343341.0,19505.0,"['Comedy', 'Drama', 'Romance']","['Burn Later Productions', 'MJW Films']",0,4,0
tt1758595,Diana,2013,5.6,21K,15000000.0,21766271.0,335359.0,67754.0,"['Biography', 'Drama', 'Romance']","['Ecosse Films', 'Le Pacte', 'Film i Väst']",0,2,0
tt2371287,Camp,2013,6.8,800,200000.0,324977.0,324977.0,7785.0,['Drama'],['Roebuck Media'],0,0,0
tt2103267,Adore,2013,6.2,37K,16000000.0,1575749.0,318982.0,119806.0,"['Steamy Romance', 'Drama', 'Romance']","['Gaumont', 'Screen Australia', 'Ciné@']",0,4,0
tt1564870,Not Today,2013,5.5,778,1600000.0,318121.0,318121.0,96347.0,['Drama'],['Friends Media'],0,0,0
tt2027140,Mood Indigo,2013,6.5,17K,19000000.0,10435322.0,303187.0,26511.0,"['Tragic Romance', 'Comedy', 'Drama', 'Fantasy', 'Romance']","['Brio Films', 'StudioCanal', 'Scope Pictures']",0,10,0
tt2301592,The Dance of Reality,2013,7.5,9.7K,3000000.0,558636.0,293680.0,24768.0,"['Dark Comedy', 'Biography', 'Drama', 'Fantasy']","['Le Soleil Films', 'Camera One']",0,9,0
tt2361700,Antarctica: A Year on Ice,2013,7.6,3.8K,1000000.0,288757.0,288757.0,32238.0,"['Nature Documentary', 'Travel Documentary', 'Adventure', 'Biography', 'Documentary', 'Drama']",['Antzworks'],0,3,0
tt2344678,Himmatwala,2013,1.8,9.4K,10000000.0,8644563.0,270880.0,197770.0,"['One-Person Army Action', 'Period Drama', 'Action', 'Comedy', 'Drama']","['Puja Entertainment (India)', 'UTV Motion Pictures']",0,0,0
tt1663207,Life of Crime,2013,5.8,21K,12000000.0,1456675.0,265452.0,104300.0,"['Comedy', 'Crime']","['Abbolita Productions', 'Echo Films', 'Gotham Group']",0,0,0
